policy_id;policy;from_state;transition_type;L_plot;L_label;count
0;resilient_predictive;0;0to1;-2;miss;3
0;resilient_predictive;0;0to1;0;0;16
0;resilient_predictive;0;0to1;1;1;21
0;resilient_predictive;0;0to1;2;2;4
0;resilient_predictive;1;1to0;-2;miss;2
0;resilient_predictive;1;1to0;0;0;8
0;resilient_predictive;1;1to0;1;1;25
0;resilient_predictive;1;1to0;2;2;9
1;predictive;0;0to1;-2;miss;7
1;predictive;0;0to1;0;0;14
1;predictive;0;0to1;1;1;19
1;predictive;0;0to1;2;2;4
1;predictive;1;1to0;-2;miss;9
1;predictive;1;1to0;0;0;7
1;predictive;1;1to0;1;1;19
1;predictive;1;1to0;2;2;9
2;event_trigger;0;0to1;-2;miss;7
2;event_trigger;0;0to1;0;0;37
2;event_trigger;1;1to0;-2;miss;8
2;event_trigger;1;1to0;0;0;36
3;probability;0;0to1;-2;miss;7
3;probability;0;0to1;0;0;14
3;probability;0;0to1;1;1;19
3;probability;0;0to1;2;2;4
3;probability;1;1to0;-2;miss;2
3;probability;1;1to0;0;0;9
3;probability;1;1to0;1;1;24
3;probability;1;1to0;2;2;9
4;aoii;0;0to1;-2;miss;15
4;aoii;0;0to1;0;0;16
4;aoii;0;0to1;1;1;11
4;aoii;0;0to1;2;2;2
4;aoii;1;1to0;-2;miss;15
4;aoii;1;1to0;0;0;10
4;aoii;1;1to0;1;1;14
4;aoii;1;1to0;2;2;5
