policy_id;policy;policy_display;from_state;transition_label;transition_tex;L_value;L_label;bar_type;color_id;count;n_total;n_miss;n_ontime;n_early;min_L;max_L
0;resilient_predictive;Resilient predictive;0;0to1;$0\to1$;-1;miss;miss;0;139;1981;139;483;1359;-1;4
0;resilient_predictive;Resilient predictive;0;0to1;$0\to1$;0;0;ontime;1;483;1981;139;483;1359;-1;4
0;resilient_predictive;Resilient predictive;0;0to1;$0\to1$;1;1;early;2;902;1981;139;483;1359;-1;4
0;resilient_predictive;Resilient predictive;0;0to1;$0\to1$;2;2;early;2;422;1981;139;483;1359;-1;4
0;resilient_predictive;Resilient predictive;0;0to1;$0\to1$;3;3;early;2;34;1981;139;483;1359;-1;4
0;resilient_predictive;Resilient predictive;0;0to1;$0\to1$;4;4;early;2;1;1981;139;483;1359;-1;4
0;resilient_predictive;Resilient predictive;1;1to0;$1\to0$;-1;miss;miss;0;194;1980;194;176;1610;-1;4
0;resilient_predictive;Resilient predictive;1;1to0;$1\to0$;0;0;ontime;1;176;1980;194;176;1610;-1;4
0;resilient_predictive;Resilient predictive;1;1to0;$1\to0$;1;1;early;2;1022;1980;194;176;1610;-1;4
0;resilient_predictive;Resilient predictive;1;1to0;$1\to0$;2;2;early;2;531;1980;194;176;1610;-1;4
0;resilient_predictive;Resilient predictive;1;1to0;$1\to0$;3;3;early;2;56;1980;194;176;1610;-1;4
0;resilient_predictive;Resilient predictive;1;1to0;$1\to0$;4;4;early;2;1;1980;194;176;1610;-1;4
1;predictive;Predictive;0;0to1;$0\to1$;-1;miss;miss;0;306;1981;306;449;1226;-1;4
1;predictive;Predictive;0;0to1;$0\to1$;0;0;ontime;1;449;1981;306;449;1226;-1;4
1;predictive;Predictive;0;0to1;$0\to1$;1;1;early;2;823;1981;306;449;1226;-1;4
1;predictive;Predictive;0;0to1;$0\to1$;2;2;early;2;372;1981;306;449;1226;-1;4
1;predictive;Predictive;0;0to1;$0\to1$;3;3;early;2;30;1981;306;449;1226;-1;4
1;predictive;Predictive;0;0to1;$0\to1$;4;4;early;2;1;1981;306;449;1226;-1;4
1;predictive;Predictive;1;1to0;$1\to0$;-1;miss;miss;0;466;1980;466;161;1353;-1;4
1;predictive;Predictive;1;1to0;$1\to0$;0;0;ontime;1;161;1980;466;161;1353;-1;4
1;predictive;Predictive;1;1to0;$1\to0$;1;1;early;2;864;1980;466;161;1353;-1;4
1;predictive;Predictive;1;1to0;$1\to0$;2;2;early;2;439;1980;466;161;1353;-1;4
1;predictive;Predictive;1;1to0;$1\to0$;3;3;early;2;49;1980;466;161;1353;-1;4
1;predictive;Predictive;1;1to0;$1\to0$;4;4;early;2;1;1980;466;161;1353;-1;4
2;event_trigger;Event trigger;0;0to1;$0\to1$;-1;miss;miss;0;313;1981;313;1668;0;-1;0
2;event_trigger;Event trigger;0;0to1;$0\to1$;0;0;ontime;1;1668;1981;313;1668;0;-1;0
2;event_trigger;Event trigger;1;1to0;$1\to0$;-1;miss;miss;0;332;1980;332;1648;0;-1;0
2;event_trigger;Event trigger;1;1to0;$1\to0$;0;0;ontime;1;1648;1980;332;1648;0;-1;0
3;probability;Probability;0;0to1;$0\to1$;-1;miss;miss;0;74;1981;74;552;1355;-1;4
3;probability;Probability;0;0to1;$0\to1$;0;0;ontime;1;552;1981;74;552;1355;-1;4
3;probability;Probability;0;0to1;$0\to1$;1;1;early;2;912;1981;74;552;1355;-1;4
3;probability;Probability;0;0to1;$0\to1$;2;2;early;2;409;1981;74;552;1355;-1;4
3;probability;Probability;0;0to1;$0\to1$;3;3;early;2;33;1981;74;552;1355;-1;4
3;probability;Probability;0;0to1;$0\to1$;4;4;early;2;1;1981;74;552;1355;-1;4
3;probability;Probability;1;1to0;$1\to0$;-1;miss;miss;0;69;1980;69;304;1607;-1;4
3;probability;Probability;1;1to0;$1\to0$;0;0;ontime;1;304;1980;69;304;1607;-1;4
3;probability;Probability;1;1to0;$1\to0$;1;1;early;2;1042;1980;69;304;1607;-1;4
3;probability;Probability;1;1to0;$1\to0$;2;2;early;2;508;1980;69;304;1607;-1;4
3;probability;Probability;1;1to0;$1\to0$;3;3;early;2;56;1980;69;304;1607;-1;4
3;probability;Probability;1;1to0;$1\to0$;4;4;early;2;1;1980;69;304;1607;-1;4
4;aoii;AoII;0;0to1;$0\to1$;-1;miss;miss;0;268;1981;268;1707;6;-1;1
4;aoii;AoII;0;0to1;$0\to1$;0;0;ontime;1;1707;1981;268;1707;6;-1;1
4;aoii;AoII;0;0to1;$0\to1$;1;1;early;2;6;1981;268;1707;6;-1;1
4;aoii;AoII;1;1to0;$1\to0$;-1;miss;miss;0;282;1980;282;1604;94;-1;2
4;aoii;AoII;1;1to0;$1\to0$;0;0;ontime;1;1604;1980;282;1604;94;-1;2
4;aoii;AoII;1;1to0;$1\to0$;1;1;early;2;90;1980;282;1604;94;-1;2
4;aoii;AoII;1;1to0;$1\to0$;2;2;early;2;4;1980;282;1604;94;-1;2
